Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,11/01/2019,1. Breakfast,17,"15,689",17,"64,882","11,217","15,967","92,066",,"15,054"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,11/01/2019,3. Lunch,18,"16,175",17,"107,895","19,129","35,278","162,302",,"15,515"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,11/01/2019,4. PM Snack,14,"11,323",14,"6,512",0,0,"6,512",,"10,839"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,12/01/2019,1. Breakfast,1,486,15,377,46,306,729,,460
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,12/01/2019,1. Breakfast,17,"15,675",15,"55,215","9,418","13,065","77,698",,"14,939"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,12/01/2019,3. Lunch,18,"16,161",15,"94,469","16,519","30,225","141,213",,"15,399"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,12/01/2019,4. PM Snack,13,"10,915",14,"7,890",0,0,"7,890",,"10,382"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,01/01/2020,1. Breakfast,1,480,18,463,68,285,816,,461
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,01/01/2020,1. Breakfast,17,"15,589",18,"65,433","11,078","15,374","91,885",,"15,000"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,01/01/2020,3. Lunch,18,"16,069",18,"114,504","19,994","35,200","169,698",,"15,461"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,01/01/2020,4. PM Snack,13,"10,346",16,"9,966",0,0,"9,966",,"9,928"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,02/01/2020,1. Breakfast,1,476,19,587,75,295,957,,456
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,02/01/2020,1. Breakfast,17,"15,525",19,"74,218","11,908","16,865","102,991",,"14,899"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,02/01/2020,3. Lunch,18,"16,001",19,"123,705","19,554","36,593","179,852",,"15,355"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,02/01/2020,4. PM Snack,14,"11,229",19,"10,613",0,0,"10,613",,"10,757"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,03/01/2020,1. Breakfast,1,474,9,301,39,123,463,,450
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,03/01/2020,1. Breakfast,17,"15,507",9,"34,953","5,699","7,843","48,495",,"14,760"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,03/01/2020,3. Lunch,18,"15,981",9,"57,441","9,051","17,416","83,908",,"15,210"
2019 - 2020,School Nutrition Programs,101,Alexandria City Public Schools,03/01/2020,4. PM Snack,11,"9,291",9,"4,561",0,0,"4,561",,"8,820"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,09/01/2019,1. Breakfast,6,"2,263",20,"20,885",0,"2,418","23,303",,"2,146"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,09/01/2019,3. Lunch,6,"2,263",20,"29,315",0,"3,449","32,764",,"2,146"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,10/01/2019,1. Breakfast,6,"2,244",21,"22,328",0,"2,647","24,975",,"2,126"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,10/01/2019,3. Lunch,6,"2,244",21,"31,137",0,"3,677","34,814",,"2,126"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,11/01/2019,1. Breakfast,6,"2,306",17,"17,806",0,"2,115","19,921",,"2,145"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,11/01/2019,3. Lunch,6,"2,306",17,"24,793",0,"2,896","27,689",,"2,145"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,12/01/2019,1. Breakfast,6,"2,315",13,"13,066",0,"1,520","14,586",,"2,140"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,12/01/2019,3. Lunch,6,"2,315",13,"18,164",0,"2,031","20,195",,"2,140"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,01/01/2020,1. Breakfast,6,"2,306",18,"17,330",0,"2,007","19,337",,"2,083"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,01/01/2020,3. Lunch,6,"2,306",18,"25,416",0,"2,917","28,333",,"2,083"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,02/01/2020,1. Breakfast,6,"2,309",18,"17,727",0,"2,110","19,837",,"2,079"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,02/01/2020,3. Lunch,6,"2,309",18,"25,574",0,"2,962","28,536",,"2,079"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,03/01/2020,1. Breakfast,6,"2,309",10,"10,250",0,"1,238","11,488",,"2,116"
2019 - 2020,School Nutrition Programs,102,Bristol City Public Schools,03/01/2020,3. Lunch,6,"2,309",10,"14,176",0,"1,643","15,819",,"2,116"
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,09/01/2019,1. Breakfast,4,898,20,"5,662",158,"2,532","8,352",,855
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,09/01/2019,3. Lunch,4,898,20,"6,207",148,"2,146","8,501",,855
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,09/01/2019,4. PM Snack,1,79,19,974,0,0,974,,77
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,10/01/2019,1. Breakfast,4,894,21,"6,206",121,"2,654","8,981",,851
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,10/01/2019,3. Lunch,4,894,21,"6,965",152,"2,567","9,684",,851
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,10/01/2019,4. PM Snack,1,86,20,"1,094",0,0,"1,094",,85
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,11/01/2019,1. Breakfast,4,897,18,"5,599",145,"2,254","7,998",,838
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,11/01/2019,3. Lunch,4,897,18,"6,200",155,"2,187","8,542",,838
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,11/01/2019,4. PM Snack,1,88,15,835,0,0,835,,86
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,12/01/2019,1. Breakfast,4,900,13,"3,627",111,"1,551","5,289",,848
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,12/01/2019,3. Lunch,4,900,13,"4,475",112,"1,535","6,122",,848
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,12/01/2019,4. PM Snack,1,88,9,514,0,0,514,,86
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,01/01/2020,1. Breakfast,4,901,16,"4,446",143,"2,023","6,612",,845
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,01/01/2020,3. Lunch,4,901,16,"5,586",138,"1,999","7,723",,845
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,01/01/2020,4. PM Snack,1,87,16,882,0,0,882,,85
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,02/01/2020,1. Breakfast,4,861,18,"5,801",252,"2,222","8,275",,786
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,02/01/2020,3. Lunch,4,861,18,"6,714",171,"2,372","9,257",,786
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,02/01/2020,4. PM Snack,1,88,16,912,0,0,912,,86
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,03/01/2020,1. Breakfast,4,894,9,"3,010",150,"1,127","4,287",,843
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,03/01/2020,3. Lunch,4,894,9,"3,484",84,"1,234","4,802",,843
2019 - 2020,School Nutrition Programs,103,Buena Vista City Public Schools,03/01/2020,4. PM Snack,1,86,5,275,0,0,275,,84
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,09/01/2019,1. Breakfast,9,"4,654",19,"22,349",618,"3,159","26,126",,"4,420"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,09/01/2019,3. Lunch,9,"4,654",19,"32,761","1,362","9,348","43,471",,"4,420"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,09/01/2019,4. PM Snack,7,700,19,"5,540",0,0,"5,540",,665
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,10/01/2019,1. Breakfast,9,"4,887",23,"27,068",687,"4,943","32,698",,"4,643"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,10/01/2019,3. Lunch,9,"4,887",23,"38,140","1,330","13,291","52,761",,"4,643"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,10/01/2019,4. PM Snack,7,700,23,"8,815",0,0,"8,815",,665
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,11/01/2019,1. Breakfast,9,"4,649",15,"17,776",439,"2,752","20,967",,"4,415"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,11/01/2019,3. Lunch,9,"4,649",15,"25,531",813,"8,379","34,723",,"4,415"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,11/01/2019,4. PM Snack,7,700,15,"5,473",0,0,"5,473",,665
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,12/01/2019,1. Breakfast,9,"4,614",15,"17,146",376,"2,454","19,976",,"4,383"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,12/01/2019,3. Lunch,9,"4,614",15,"25,073",794,"7,581","33,448",,"4,383"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,12/01/2019,4. PM Snack,7,700,15,"5,582",0,0,"5,582",,665
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,01/01/2020,1. Breakfast,9,"4,792",18,"20,004",450,"2,749","23,203",,"4,551"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,01/01/2020,3. Lunch,9,"4,792",18,"30,240",929,"8,862","40,031",,"4,551"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,01/01/2020,4. PM Snack,7,700,17,"5,204",0,0,"5,204",,665
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,02/01/2020,1. Breakfast,9,"4,611",20,"23,595",511,"3,176","27,282",,"4,380"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,02/01/2020,3. Lunch,9,"4,611",20,"34,546",950,"9,787","45,283",,"4,380"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,02/01/2020,4. PM Snack,7,700,20,"6,141",0,0,"6,141",,665
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,03/01/2020,1. Breakfast,9,"4,602",8,"9,175",209,"1,252","10,636",,"4,369"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,03/01/2020,3. Lunch,9,"4,602",8,"13,488",392,"3,978","17,858",,"4,370"
2019 - 2020,School Nutrition Programs,104,Charlottesville City Public Schools,03/01/2020,4. PM Snack,7,700,8,"2,224",0,0,"2,224",,665
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,09/01/2019,1. Breakfast,5,"2,906",19,"7,300",684,"1,072","9,056",,"2,762"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,09/01/2019,3. Lunch,5,"2,906",19,"17,473","2,415","6,157","26,045",,"2,762"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,09/01/2019,4. PM Snack,3,85,19,"1,137",0,0,"1,137",,81
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,10/01/2019,1. Breakfast,5,"2,899",23,"10,076",948,"1,273","12,297",,"2,755"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,10/01/2019,3. Lunch,5,"2,899",23,"23,260","3,272","8,201","34,733",,"2,755"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,10/01/2019,4. PM Snack,3,93,23,"1,709",0,0,"1,709",,89
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,11/01/2019,1. Breakfast,5,"2,919",17,"7,664",697,"1,048","9,409",,"2,773"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,11/01/2019,3. Lunch,5,"2,919",17,"17,059","2,366","6,674","26,099",,"2,773"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,11/01/2019,4. PM Snack,3,102,17,"1,164",0,0,"1,164",,98
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,12/01/2019,1. Breakfast,5,"2,919",15,"6,579",659,969,"8,207",,"2,772"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,12/01/2019,3. Lunch,5,"2,919",15,"14,014","1,911","5,719","21,644",,"2,772"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,12/01/2019,4. PM Snack,3,105,14,"1,205",0,0,"1,205",,101
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,01/01/2020,1. Breakfast,5,"2,899",18,"7,591",614,"1,022","9,227",,"2,754"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,01/01/2020,3. Lunch,5,"2,899",18,"16,171","2,114","5,897","24,182",,"2,754"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,01/01/2020,4. PM Snack,3,107,17,"1,487",0,0,"1,487",,104
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,02/01/2020,1. Breakfast,5,"2,994",18,"8,091",597,980,"9,668",,"2,846"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,02/01/2020,3. Lunch,5,"2,994",18,"18,488","2,157","6,136","26,781",,"2,846"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,02/01/2020,4. PM Snack,4,490,18,"3,852",0,0,"3,852",,465
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,03/01/2020,1. Breakfast,5,"2,899",9,"3,899",295,481,"4,675",,"2,754"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,03/01/2020,3. Lunch,5,"2,899",9,"9,177","1,061","3,224","13,462",,"2,754"
2019 - 2020,School Nutrition Programs,106,Colonial Heights City Public Schools,03/01/2020,4. PM Snack,4,246,9,"1,096",0,0,"1,096",,234
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,09/01/2019,1. Breakfast,3,"1,033",19,"3,892",0,"2,135","6,027",,976
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,09/01/2019,3. Lunch,3,"1,033",19,"7,071",0,"3,878","10,949",,976
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,10/01/2019,1. Breakfast,3,"1,035",21,"4,013",0,"2,202","6,215",,972
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,10/01/2019,3. Lunch,3,"1,035",21,"7,839",0,"4,299","12,138",,972
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,11/01/2019,1. Breakfast,3,"1,035",18,"3,681",0,"2,019","5,700",,963
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,11/01/2019,3. Lunch,3,"1,035",18,"6,829",0,"3,744","10,573",,965
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,12/01/2019,1. Breakfast,3,"1,035",14,"2,650",0,"1,453","4,103",,973
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,12/01/2019,3. Lunch,3,"1,035",14,"4,878",0,"2,676","7,554",,973
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,01/01/2020,1. Breakfast,3,"1,040",15,"2,684",0,"1,473","4,157",,927
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,01/01/2020,3. Lunch,3,"1,040",15,"5,422",0,"2,974","8,396",,927
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,02/01/2020,1. Breakfast,3,"1,037",18,"3,371",0,"1,849","5,220",,952
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,02/01/2020,3. Lunch,3,"1,037",18,"6,746",0,"3,700","10,446",,952
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,03/01/2020,1. Breakfast,3,"1,036",8,"1,410",0,773,"2,183",,933
2019 - 2020,School Nutrition Programs,107,Covington City Public Schools,03/01/2020,3. Lunch,3,"1,036",8,"2,880",0,"1,580","4,460",,933
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,09/01/2019,1. Breakfast,13,"5,705",20,"73,523",0,0,"73,523",,"5,374"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,09/01/2019,3. Lunch,13,"5,705",20,"92,258",0,0,"92,258",,"5,374"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,09/01/2019,4. PM Snack,5,136,16,452,0,0,452,,84
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,10/01/2019,1. Breakfast,13,"5,684",22,"79,849",0,0,"79,849",,"5,349"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,10/01/2019,3. Lunch,13,"5,684",22,"101,617",0,0,"101,617",,"5,349"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,10/01/2019,4. PM Snack,8,262,19,"1,560",0,0,"1,560",,163
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,11/01/2019,1. Breakfast,13,"5,682",16,"57,981",0,0,"57,981",,"5,294"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,11/01/2019,3. Lunch,13,"5,682",16,"72,599",0,0,"72,599",,"5,294"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,11/01/2019,4. PM Snack,7,371,16,"1,283",0,0,"1,283",,197
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,12/01/2019,1. Breakfast,13,"5,682",14,"47,215",0,0,"47,215",,"5,219"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,12/01/2019,3. Lunch,13,"5,682",14,"58,818",0,0,"58,818",,"5,219"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,12/01/2019,4. PM Snack,9,533,13,"1,670",0,0,"1,670",,291
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,01/01/2020,1. Breakfast,13,"5,697",18,"62,754",0,0,"62,754",,"5,240"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,01/01/2020,3. Lunch,13,"5,697",18,"80,825",0,0,"80,825",,"5,240"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,01/01/2020,4. PM Snack,9,578,17,"2,174",0,0,"2,174",,282
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,02/01/2020,1. Breakfast,13,"5,677",17,"58,939",0,0,"58,939",,"5,214"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,02/01/2020,3. Lunch,13,"5,677",17,"75,686",0,0,"75,686",,"5,214"
